algorithm,episodes,final_reward,mean_overall,std_overall,min,max,cumulative_reward,cv_overall
PPO,100,988.546142578125,1008.2977294921875,32.747886657714844,986.045654296875,1060.7156982421875,100829.7734375,0.03247838976510219
A2C,100,943.5,943.385009765625,0.533174455165863,942.5,944.5,94338.5,0.000565171642167947
SAC,100,-26119.400390625,-34483.3984375,19317.4609375,-51087.3984375,985.5,-3448339.75,-0.5601959729262836
DQN,100,959.3463745117188,1001.4417114257812,54.723209381103516,859.479248046875,1070.5902099609375,100144.171875,0.054644427885066335
Rule-based,100,1003.2635498046875,937.748291015625,66.18285369873047,860.2049560546875,1003.2635498046875,93774.828125,0.07057635223952406
